Geneid,PC3_Hypoxia_S2,LNCAP_Hypoxia_S1,PC3_Normoxia_S2,PC3_Hypoxia_S1,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,LNCAP_Hypoxia_S2,featurecounts.txt,PC3_Normoxia_S1
ENSG00000187513,1,0,0,0,0,0,0,0,0
ENSG00000225671,4,5,6,5,10,18,8,5,0
ENSG00000116151,49,446,227,127,462,574,532,446,109
ENSG00000006555,29,0,93,93,2,2,1,0,30
ENSG00000236111,0,6,0,3,4,2,3,6,0
ENSG00000214114,151,800,481,517,1050,1050,946,800,166
ENSG00000116544,10,2,17,19,7,4,5,2,19
ENSG00000236723,0,13,1,0,12,5,13,13,1
ENSG00000232467,2,0,1,6,0,0,0,0,2
ENSG00000117016,63,162,182,175,123,224,188,162,82
ENSG00000163866,201,1099,645,605,1027,1274,1249,1099,281
ENSG00000237130,1,2,1,0,0,0,0,2,0
ENSG00000232335,0,1,0,0,3,0,0,1,0
ENSG00000232762,0,0,5,3,2,1,1,0,0
ENSG00000162384,175,1087,659,471,1303,1524,1187,1087,253
ENSG00000162391,0,15,1,0,7,18,13,15,0
ENSG00000117859,501,2409,1495,1642,2749,3032,2731,2409,493
ENSG00000162396,29,456,158,77,371,593,538,456,53
ENSG00000284686,1,0,0,1,0,0,1,0,0
ENSG00000162378,504,2091,1552,1579,1695,1950,2314,2091,534
ENSG00000259818,6,5,21,15,21,11,8,5,5
ENSG00000234318,0,0,1,0,0,0,0,0,0
ENSG00000227485,0,0,0,0,0,0,0,0,0
ENSG00000236646,0,0,0,0,0,0,1,0,1
ENSG00000243725,3,47,32,15,52,58,43,47,14
ENSG00000171872,2,3,1,5,0,1,0,3,0
ENSG00000162407,79,326,401,279,311,519,393,326,178
ENSG00000163877,27,790,63,70,817,1110,860,790,21
ENSG00000228929,132,179,424,347,266,746,113,179,162
ENSG00000224570,0,0,0,0,0,0,0,0,0
ENSG00000224980,0,0,0,0,0,0,0,0,0
ENSG00000278967,4,11,2,6,10,4,14,11,4
ENSG00000157184,59,698,206,133,1172,1661,780,698,70
ENSG00000198815,893,7233,2711,2738,6095,7231,8142,7233,882
ENSG00000134744,739,5225,2124,2329,4639,5135,6248,5225,740
ENSG00000233910,0,0,0,0,0,0,0,0,0
ENSG00000287703,0,0,0,0,0,0,0,0,0
ENSG00000283039,0,1,0,0,0,0,0,1,0
ENSG00000229294,0,0,0,0,2,0,0,0,0
ENSG00000236973,0,0,0,0,0,0,0,0,0
ENSG00000277397,0,0,0,0,0,0,0,0,0
ENSG00000162385,224,2082,899,682,2632,3338,2171,2082,326
ENSG00000275350,0,0,0,0,0,0,0,0,0
ENSG00000123080,240,1501,728,702,1274,1700,1748,1501,258
ENSG00000285778,1,0,0,0,0,0,0,0,0
ENSG00000233407,0,0,0,0,0,0,0,0,0
ENSG00000162598,0,0,0,0,1,0,0,0,0
ENSG00000280317,0,0,0,0,0,0,0,0,0
ENSG00000162415,165,218,138,393,137,183,196,218,48
ENSG00000162600,155,3284,692,521,6965,6985,3860,3284,222
ENSG00000116704,89,1,260,207,3,2,1,1,117
ENSG00000157193,202,1390,751,561,1752,1812,1644,1390,303
ENSG00000116205,70,1057,251,188,1244,1462,1191,1057,81
ENSG00000233994,18,6,1,10,12,8,11,6,4
ENSG00000227556,0,1,0,0,0,0,0,1,0
ENSG00000162607,996,3149,2216,3131,3534,3513,3618,3149,766
ENSG00000285954,0,0,0,0,0,0,0,0,0
ENSG00000233333,0,0,0,0,0,0,0,0,0
ENSG00000154027,4,30,39,14,20,55,24,30,14
ENSG00000234108,0,0,0,1,0,0,0,0,0
ENSG00000232676,0,0,0,0,0,0,0,0,0
ENSG00000213579,0,0,0,1,1,1,0,0,0
ENSG00000137960,1,2,3,4,1,4,3,2,1
ENSG00000237852,2,0,0,0,3,0,0,0,1
ENSG00000132855,4,10,7,7,25,19,10,10,2
ENSG00000270549,0,0,1,0,0,0,0,0,1
ENSG00000237163,0,0,0,0,0,0,0,0,0
ENSG00000229636,0,0,0,0,0,0,0,0,0
ENSG00000116675,65,148,382,197,280,334,154,148,138
ENSG00000162433,2056,8740,1945,5498,4608,4302,9949,8740,664
ENSG00000213625,667,1063,1986,1939,1080,1224,1155,1063,755
ENSG00000233664,0,0,0,0,0,0,0,0,0
ENSG00000158966,121,21,478,428,79,95,22,21,174
ENSG00000213703,0,3,6,4,0,0,0,3,3
ENSG00000153898,59,268,255,157,306,404,309,268,85
ENSG00000117069,22,3,59,77,3,9,6,3,14
ENSG00000125703,79,776,314,236,1152,1205,1038,776,123
ENSG00000234144,0,0,0,0,0,0,0,0,0
ENSG00000277670,0,0,0,0,0,0,0,0,0
ENSG00000227466,0,0,0,0,0,0,0,0,0
ENSG00000230498,2,0,1,6,0,0,1,0,2
ENSG00000162618,0,2,0,0,12,8,1,2,0
ENSG00000224493,0,0,2,2,0,0,0,0,0
ENSG00000131233,0,3,0,0,4,0,1,3,0
ENSG00000229225,0,0,0,0,0,0,0,0,0
ENSG00000225598,0,0,0,0,2,0,0,0,0
ENSG00000137941,382,2109,856,1157,1458,1430,2307,2109,341
ENSG00000286548,0,2,0,1,1,2,2,2,0
ENSG00000272094,0,0,0,0,0,0,0,0,0
ENSG00000228853,0,0,0,0,0,0,0,0,0
ENSG00000284895,0,0,0,0,0,0,0,0,0
ENSG00000117174,39,1998,226,95,2782,3153,2375,1998,79
ENSG00000184313,1,3,0,0,15,11,5,3,0
ENSG00000288543,0,0,2,2,3,1,1,0,1
ENSG00000122420,6,1827,14,8,3329,3414,2472,1827,2
ENSG00000143013,94,829,440,306,1354,1826,947,829,180
ENSG00000226084,8,1788,2,14,3021,3513,1924,1788,1
ENSG00000134748,374,4850,1000,997,5774,6899,5723,4850,428
ENSG00000142892,543,2238,1385,1487,2901,2887,2541,2238,534
ENSG00000229332,0,7,0,0,12,11,14,7,0
ENSG00000227937,0,0,0,0,0,0,0,0,0
ENSG00000229752,1,0,0,4,0,1,0,0,0
ENSG00000233216,0,0,0,0,0,0,0,0,0
ENSG00000197273,0,1,0,0,0,0,1,1,0
ENSG00000226804,0,0,0,0,0,0,0,0,0
ENSG00000230728,0,1,0,0,0,0,1,1,0
ENSG00000232846,0,0,1,0,0,0,0,0,0
ENSG00000230787,0,2,0,0,2,8,4,2,0
ENSG00000116641,1795,4171,3317,5447,3739,3815,5100,4171,1191
ENSG00000172260,29,4,80,108,2,11,0,4,28
ENSG00000285473,0,0,0,0,0,0,0,0,0
ENSG00000234578,0,0,0,0,0,0,0,0,0
ENSG00000229505,0,0,0,0,0,0,0,0,0
ENSG00000228187,0,0,0,1,0,0,0,0,0
ENSG00000182183,0,11,0,0,10,14,24,11,0
ENSG00000236407,0,0,0,0,0,0,0,0,0
ENSG00000271949,0,0,0,0,0,0,0,0,0
ENSG00000227062,0,0,0,0,0,0,0,0,0
ENSG00000067334,411,3908,1515,1347,4752,5005,4726,3908,548
ENSG00000235011,0,0,0,0,0,0,0,0,0
ENSG00000213559,0,0,0,2,4,1,0,0,0
ENSG00000287587,2,4,2,1,5,6,5,4,2
ENSG00000232882,30,64,82,62,31,40,54,64,32
ENSG00000171502,29,36,184,128,38,60,38,36,62
ENSG00000116157,0,1,0,0,1,0,0,1,0
ENSG00000143036,35,323,95,77,196,255,366,323,32
ENSG00000065243,1063,4358,2884,3136,4450,4350,5139,4358,957
ENSG00000226960,0,2,0,0,1,0,0,2,0
ENSG00000234080,0,0,0,1,0,0,1,0,1
ENSG00000285409,0,0,0,0,0,0,0,0,0
ENSG00000117528,400,3206,1285,1360,2865,2592,3665,3206,461
ENSG00000271723,1,0,1,0,0,0,0,0,0
ENSG00000036549,762,3382,2465,2375,3795,3909,4100,3382,837
ENSG00000225191,0,0,0,0,0,0,0,0,0
ENSG00000287870,2,7,6,8,7,8,6,7,1
ENSG00000232048,0,0,0,0,0,0,0,0,0
ENSG00000232857,0,0,0,0,0,0,0,0,0
ENSG00000273637,0,0,0,0,0,0,0,0,0
ENSG00000228838,0,1,2,1,0,3,0,1,3
ENSG00000283761,12,8,27,28,5,9,12,8,5
ENSG00000189433,0,0,0,1,0,0,0,0,0
ENSG00000142700,0,0,0,0,1,0,3,0,0
ENSG00000233514,12,45,11,28,48,56,47,45,5
ENSG00000127124,114,276,665,360,236,354,322,276,269
ENSG00000266993,0,22,1,6,6,13,6,22,1
ENSG00000229316,0,0,0,0,0,0,0,0,0
ENSG00000234099,0,0,0,0,1,1,1,0,0
ENSG00000137936,1709,443,4204,5385,194,231,461,443,1586
ENSG00000232752,0,0,0,0,0,1,0,0,0
ENSG00000235829,0,12,0,0,2,2,13,12,0
ENSG00000143032,0,0,0,0,0,0,0,0,0
ENSG00000280040,3,2,4,6,3,2,2,2,4
ENSG00000117519,4566,6,14455,14467,2,1,1,6,5150
ENSG00000238037,0,0,0,0,0,0,0,0,0
ENSG00000134215,135,47,350,461,53,82,55,47,130
ENSG00000227935,0,0,0,0,0,0,0,0,0
ENSG00000228502,17,238,58,49,366,429,349,238,13
ENSG00000271277,0,0,0,0,0,0,0,0,0
ENSG00000236888,0,0,0,1,0,0,0,0,0
ENSG00000230828,0,0,1,4,0,0,0,0,3
ENSG00000152078,301,819,776,866,549,539,853,819,287
ENSG00000171492,192,3223,968,609,5301,6011,3575,3223,333
ENSG00000233129,0,0,0,0,0,0,0,0,0
ENSG00000170989,14,0,38,68,1,0,1,0,14
ENSG00000237897,0,0,0,0,2,3,1,0,0
ENSG00000137962,1992,4154,4619,6895,3932,4228,4891,4154,1476
ENSG00000286692,0,0,2,0,6,4,0,0,2
ENSG00000260464,0,75,4,5,60,58,104,75,5
ENSG00000231996,0,0,0,1,1,0,0,0,0
ENSG00000117154,0,22,1,1,1,2,22,22,0
ENSG00000162377,83,1535,630,323,2509,2663,1971,1535,269
ENSG00000116774,10,4,70,47,1,0,3,4,27
ENSG00000287756,0,0,0,1,0,0,0,0,0
ENSG00000284652,0,1,0,0,0,1,2,1,0
ENSG00000023909,532,1570,1397,1865,2129,2097,1924,1570,553
ENSG00000069702,48,744,253,189,521,506,826,744,97
ENSG00000228399,2,1,0,0,0,1,1,1,0
ENSG00000236776,0,0,0,0,0,0,0,0,0
ENSG00000271252,0,0,0,0,0,0,0,0,0
ENSG00000235794,0,1,0,0,1,1,0,1,1
ENSG00000233983,0,0,0,2,0,0,0,0,0
ENSG00000116793,311,47,1010,1019,20,22,32,47,302
ENSG00000232918,0,0,0,0,0,0,0,0,0
ENSG00000183298,3,4,3,8,7,29,7,4,1
ENSG00000117525,121,1,239,395,0,1,0,1,71
ENSG00000162699,0,0,0,0,0,0,0,0,0
ENSG00000203914,39,52,93,127,81,135,58,52,36
ENSG00000270457,1,5,4,9,3,2,4,5,1
ENSG00000231987,0,0,0,0,0,0,0,0,0
ENSG00000229842,0,0,0,0,3,0,0,0,0
ENSG00000198162,1672,4225,4859,5620,4592,4889,4969,4225,1671
ENSG00000171517,0,11461,0,0,8505,10936,12992,11461,0
ENSG00000203864,0,0,0,0,0,0,0,0,0
ENSG00000233482,0,0,0,1,0,0,0,0,0
ENSG00000143079,776,1870,2006,2232,1526,1818,2131,1870,709
ENSG00000232450,6,1,32,36,0,1,1,1,10
ENSG00000235038,0,0,0,0,0,0,0,0,0
ENSG00000173947,23,27,67,67,42,35,26,27,27
ENSG00000134198,51,4,212,162,3,7,2,4,82
ENSG00000279513,1,0,1,2,0,0,2,0,0
ENSG00000117620,400,3013,1149,1018,2923,3310,3040,3013,431
ENSG00000162688,170,1388,423,528,1485,1377,1838,1388,156
ENSG00000197106,0,72,0,0,67,144,98,72,0
ENSG00000231072,0,0,1,2,0,0,0,0,0
ENSG00000185946,193,1154,518,613,1268,1305,1373,1154,192
ENSG00000162627,674,575,1450,2193,778,907,651,575,543
ENSG00000265808,182,1787,665,529,2130,2420,2139,1787,203
ENSG00000225923,0,0,0,1,0,0,0,0,0
ENSG00000134247,1045,3249,3162,2944,3703,4340,3790,3249,1168
ENSG00000162664,390,3722,1446,1206,3383,3887,4054,3722,451
ENSG00000134253,47,189,242,130,305,414,191,189,81
ENSG00000223416,3,4,0,1,6,6,5,4,1
ENSG00000179571,0,2,0,0,2,2,0,2,0
ENSG00000227850,9,18,23,34,25,20,32,18,11
ENSG00000285532,1,1,5,1,0,0,4,1,2
ENSG00000226755,0,0,0,0,0,0,0,0,0
ENSG00000183508,342,178,443,1022,292,266,187,178,158
ENSG00000277095,0,0,0,0,0,0,0,0,0
ENSG00000264145,0,0,0,0,0,1,0,0,0
ENSG00000238256,0,0,2,0,0,0,1,0,0
ENSG00000198765,0,2,0,0,1,0,0,2,0
ENSG00000143398,717,5339,2384,2375,4406,5394,6159,5339,880
ENSG00000196505,882,1729,2671,2749,1488,1639,2070,1729,904
ENSG00000223489,0,0,0,0,0,0,0,0,0
ENSG00000230546,0,0,0,0,0,0,0,0,0
ENSG00000213262,1,0,0,0,0,0,0,0,0
ENSG00000287015,0,0,1,0,1,0,0,0,0
ENSG00000235526,0,1,0,0,0,2,4,1,0
ENSG00000228347,0,0,0,0,0,0,0,0,0
ENSG00000236012,0,1,0,0,0,0,0,1,0
ENSG00000134200,0,0,0,0,0,0,0,0,0
ENSG00000065183,238,3055,1174,742,5042,5605,4069,3055,480
ENSG00000226126,2,2,1,2,0,3,3,2,0
ENSG00000163156,143,1112,504,394,1028,1227,1217,1112,188
ENSG00000228453,0,0,0,0,0,0,1,0,0
ENSG00000261168,0,1,4,6,7,12,4,1,1
ENSG00000233432,3,0,5,5,0,0,1,0,1
ENSG00000229911,0,0,0,0,0,0,0,0,0
ENSG00000171943,63,205,149,204,182,227,204,205,54
ENSG00000270719,0,0,0,0,0,0,0,0,0
ENSG00000155761,7,88,18,26,76,76,131,88,10
ENSG00000116830,241,1366,1127,709,1778,1635,1722,1366,370
ENSG00000234422,2,0,0,0,0,0,0,0,0
ENSG00000227091,0,0,0,0,0,0,0,0,0
ENSG00000081026,70,743,293,197,1039,1043,828,743,121
ENSG00000143458,105,927,502,298,1691,2026,1089,927,187
ENSG00000230932,0,0,0,0,0,0,0,0,0
ENSG00000225036,0,0,0,0,0,0,0,0,0
ENSG00000250890,0,0,0,0,0,1,0,0,0
ENSG00000232240,0,0,0,0,0,0,0,0,0
ENSG00000234388,0,0,0,0,0,0,0,0,0
ENSG00000233717,0,0,1,0,0,0,0,0,0
ENSG00000163155,93,401,300,208,399,543,432,401,94
ENSG00000241975,2,19,7,6,12,16,18,19,0
ENSG00000270976,0,0,0,0,0,0,0,0,0
ENSG00000228217,1,1,0,1,0,3,1,1,0
ENSG00000270342,0,0,0,0,0,0,0,0,0
ENSG00000116824,0,0,0,0,0,0,0,0,0
ENSG00000235887,0,0,0,0,0,0,0,0,0
ENSG00000235756,0,0,0,0,0,0,0,0,0
ENSG00000173810,0,1,0,1,0,1,0,1,0
ENSG00000271890,0,0,0,0,0,0,0,0,0
ENSG00000283360,2,1,5,3,2,2,0,1,1
ENSG00000117262,35,135,123,89,116,178,126,135,30
ENSG00000227970,0,0,0,0,0,0,0,0,0
ENSG00000231613,1,1,1,1,0,0,0,1,1
ENSG00000236689,0,0,0,0,0,0,0,0,0
ENSG00000226028,0,0,0,0,1,0,0,0,0
ENSG00000203825,0,0,0,0,0,0,0,0,0
ENSG00000184371,107,18,719,221,37,65,25,18,273
ENSG00000233449,0,0,0,0,0,0,0,0,0
ENSG00000242943,0,0,0,0,0,0,0,0,0
ENSG00000232499,7,211,28,40,325,307,237,211,11
ENSG00000163154,1,2,4,0,1,5,3,2,2
ENSG00000232995,53,95,148,110,126,128,100,95,48
ENSG00000238087,0,0,0,0,0,0,0,0,0
ENSG00000143158,323,12994,806,936,13421,15152,16386,12994,272
ENSG00000271092,0,2,5,3,8,14,8,2,4
ENSG00000232148,0,0,0,0,0,0,0,0,0
ENSG00000000460,155,275,438,390,379,349,350,275,189
ENSG00000135862,467,35159,1362,1443,20313,21611,41791,35159,462
ENSG00000232952,34,1310,176,126,1456,1293,1564,1310,49
ENSG00000260322,0,0,0,0,0,0,0,0,0
ENSG00000143156,455,1343,1304,1523,1754,2055,1518,1343,477
ENSG00000198771,7,5,28,51,15,8,7,5,12
ENSG00000225462,2,3,4,4,3,9,1,3,2
ENSG00000237756,0,0,0,0,0,0,1,0,0
ENSG00000271187,0,0,0,0,0,0,0,0,0
ENSG00000231175,0,0,2,1,0,0,0,0,1
ENSG00000143185,0,0,0,0,0,0,0,0,0
ENSG00000272931,0,37,9,5,53,80,43,37,3
ENSG00000143190,594,1381,1659,1722,1111,1259,1531,1381,548
ENSG00000225475,2,164,2,2,215,620,104,164,0
ENSG00000232223,0,0,0,0,0,0,0,0,0
ENSG00000224468,2,43,2,6,28,25,37,43,2
ENSG00000232551,0,0,0,0,0,0,2,0,0
ENSG00000238270,0,0,0,0,0,0,0,0,0
ENSG00000236025,0,0,0,0,0,0,0,0,0
ENSG00000230704,0,0,0,0,1,2,1,0,0
ENSG00000143171,1,1,6,8,9,9,5,1,0
ENSG00000275767,0,0,0,0,0,0,0,0,0
ENSG00000047410,474,10023,1574,1419,10070,10027,11211,10023,543
ENSG00000171806,105,326,308,313,712,734,402,326,133
ENSG00000134216,0,0,0,0,1,1,1,0,0
ENSG00000230748,0,0,0,0,0,0,0,0,0
ENSG00000238108,0,0,0,1,0,0,0,0,0
ENSG00000135842,128,219,545,438,546,991,251,219,186
ENSG00000287472,0,0,0,0,0,0,0,0,0
ENSG00000241318,13,38,37,37,44,42,41,38,14
ENSG00000228238,0,1,0,0,3,1,0,1,0
ENSG00000232393,1,1,0,5,3,1,0,1,0
ENSG00000184155,0,0,0,0,0,0,0,0,0
ENSG00000058085,1111,6,2922,3152,8,3,15,6,1110
ENSG00000232917,1,9,0,2,11,17,16,9,0
ENSG00000233057,0,23,0,1,17,36,25,23,0
ENSG00000143167,0,1,1,1,1,4,5,1,0
ENSG00000143184,0,0,0,0,0,3,0,0,0
ENSG00000224691,0,0,0,0,0,0,0,0,0
ENSG00000233626,4,1,3,6,1,2,1,1,2
ENSG00000143228,115,2360,309,291,2461,2267,2590,2360,113
ENSG00000231714,0,0,0,0,0,0,0,0,0
ENSG00000116833,15,32,37,31,43,58,33,32,12
ENSG00000000457,26,554,83,88,433,518,607,554,29
ENSG00000285638,0,0,0,0,0,0,0,0,1
ENSG00000230987,1,0,4,2,1,2,0,0,0
ENSG00000228167,0,0,0,2,0,0,0,0,1
ENSG00000150732,0,0,0,0,0,0,0,0,0
ENSG00000157064,107,936,329,273,1068,1410,1139,936,103
ENSG00000288139,0,0,0,0,0,0,0,0,0
ENSG00000059588,106,1431,404,333,1980,2121,1465,1431,134
ENSG00000162782,0,0,0,0,1,1,0,0,0
ENSG00000238051,0,0,0,0,0,0,0,0,0
ENSG00000233196,0,0,0,0,8,2,0,0,0
ENSG00000229220,0,0,0,0,0,0,0,0,0
ENSG00000227747,0,1,1,1,3,2,2,1,0
ENSG00000228081,0,0,0,0,0,0,0,0,0
ENSG00000228020,0,2,0,0,1,5,1,2,0
ENSG00000234975,4,491,2,18,397,613,481,491,3
ENSG00000162851,102,562,338,303,1125,1344,780,562,153
ENSG00000271427,2,19,10,4,23,27,22,19,1
ENSG00000143353,325,2281,800,809,3426,3988,2730,2281,321
ENSG00000197965,1311,9237,3935,4104,8177,9840,10760,9237,1585
ENSG00000143493,506,1519,1642,1833,2091,2288,1929,1519,586
ENSG00000230777,2,2,3,2,2,5,2,2,1
ENSG00000179397,5,10,19,33,9,30,11,10,10
ENSG00000224540,0,0,0,0,2,0,0,0,0
ENSG00000186197,39,0,118,97,1,4,2,0,50
ENSG00000229067,0,1,1,1,1,1,4,1,0
ENSG00000261182,0,0,0,0,0,0,0,0,0
ENSG00000162670,0,12,1,1,20,23,20,12,0
ENSG00000225712,0,0,0,2,0,1,0,0,0
ENSG00000162761,0,18,6,2,5,2,4,18,2
ENSG00000143199,2,51,6,2,69,59,59,51,3
ENSG00000007908,0,0,0,0,2,2,4,0,0
ENSG00000092978,289,2153,908,959,1780,1787,2520,2153,331
ENSG00000188404,10,154,37,24,350,419,220,154,15
ENSG00000274702,0,0,0,0,0,0,0,0,0
ENSG00000226211,0,0,0,0,0,0,0,0,0
ENSG00000203697,5,25,13,23,18,13,57,25,3
ENSG00000116574,32,4783,100,137,2950,3545,6283,4783,39
ENSG00000143248,31,548,65,113,142,110,559,548,23
ENSG00000162814,33,82,78,50,113,112,90,82,29
ENSG00000225172,0,0,0,0,0,0,0,0,0
ENSG00000261642,0,0,0,0,0,0,0,0,0
ENSG00000228239,0,0,0,0,0,0,0,0,0
ENSG00000237283,0,0,0,0,0,0,0,0,0
ENSG00000116132,0,0,7,5,0,0,0,0,1
ENSG00000229242,0,0,0,0,0,0,0,0,0
ENSG00000234984,0,0,0,0,1,0,0,0,0
ENSG00000229983,0,0,0,1,0,0,0,0,0
ENSG00000225122,0,0,0,0,0,0,0,0,0
ENSG00000225920,29,78,83,49,96,83,104,78,27
ENSG00000143476,1211,1186,3921,3156,1713,1626,1402,1186,1558
ENSG00000057252,229,1550,781,779,1713,1771,1937,1550,265
ENSG00000285718,0,0,0,0,0,0,0,0,0
ENSG00000233018,0,2,1,0,1,0,0,2,0
ENSG00000224783,0,0,0,0,0,0,0,0,0
ENSG00000162852,133,2009,346,361,2294,2723,2454,2009,119
ENSG00000268062,0,6,2,0,8,3,3,6,1
ENSG00000116962,192,3,449,617,8,7,0,3,131
